Sample	Plate	Well	WellType	Time	Experiment
230_A1_EMPTY_DAY0	230	A1	EMPTY	DAY0	experiment_1
230_A10_DAY2	230	A10	SC	DAY2	experiment_1
230_A11_DAY2	230	A11	SC	DAY2	experiment_1
230_A12_DAY2	230	A12	SC	DAY2	experiment_1
230_A2_EMPTY_DAY0	230	A2	EMPTY	DAY0	experiment_1
230_A3_DAY0	230	A3	SC	DAY0	experiment_1
230_A4_DAY0	230	A4	SC	DAY0	experiment_1
230_A5_DAY0	230	A5	SC	DAY0	experiment_1
230_A6_DAY0	230	A6	SC	DAY0	experiment_1
230_A7_DAY2	230	A7	SC	DAY2	experiment_1
230_A8_DAY2	230	A8	SC	DAY2	experiment_1
230_A9_DAY2	230	A9	SC	DAY2	experiment_1
230_B1_DAY0	230	B1	SC	DAY0	experiment_1
230_B10_DAY2	230	B10	SC	DAY2	experiment_1
230_B11_DAY2	230	B11	SC	DAY2	experiment_1
230_B12_DAY2	230	B12	SC	DAY2	experiment_1
230_B2_DAY0	230	B2	SC	DAY0	experiment_1
230_B3_DAY0	230	B3	SC	DAY0	experiment_1
230_B4_DAY0	230	B4	SC	DAY0	experiment_1
230_B5_DAY0	230	B5	SC	DAY0	experiment_1
230_B6_DAY0	230	B6	SC	DAY0	experiment_1
230_B7_DAY2	230	B7	SC	DAY2	experiment_1
230_B8_DAY2	230	B8	SC	DAY2	experiment_1
230_B9_DAY2	230	B9	SC	DAY2	experiment_1
230_C1_DAY0	230	C1	SC	DAY0	experiment_1
230_C10_DAY2	230	C10	SC	DAY2	experiment_1
230_C11_DAY2	230	C11	SC	DAY2	experiment_1
230_C12_DAY2	230	C12	SC	DAY2	experiment_1
230_C2_DAY0	230	C2	SC	DAY0	experiment_1
230_C3_DAY0	230	C3	SC	DAY0	experiment_1
230_C4_DAY0	230	C4	SC	DAY0	experiment_1
230_C5_DAY0	230	C5	SC	DAY0	experiment_1
230_C6_DAY0	230	C6	SC	DAY0	experiment_1
230_C7_DAY2	230	C7	SC	DAY2	experiment_1
230_C8_DAY2	230	C8	SC	DAY2	experiment_1
230_C9_DAY2	230	C9	SC	DAY2	experiment_1
230_D1_DAY0	230	D1	SC	DAY0	experiment_1
230_D10_DAY2	230	D10	SC	DAY2	experiment_1
230_D11_DAY2	230	D11	SC	DAY2	experiment_1
230_D12_DAY2	230	D12	SC	DAY2	experiment_1
230_D2_DAY0	230	D2	SC	DAY0	experiment_1
230_D3_DAY0	230	D3	SC	DAY0	experiment_1
230_D4_DAY0	230	D4	SC	DAY0	experiment_1
230_D5_DAY0	230	D5	SC	DAY0	experiment_1
230_D6_DAY0	230	D6	SC	DAY0	experiment_1
230_D7_DAY2	230	D7	SC	DAY2	experiment_1
230_D8_DAY2	230	D8	SC	DAY2	experiment_1
230_D9_DAY2	230	D9	SC	DAY2	experiment_1
230_E1_DAY0	230	E1	SC	DAY0	experiment_1
230_E10_DAY2	230	E10	SC	DAY2	experiment_1
230_E11_DAY2	230	E11	SC	DAY2	experiment_1
230_E12_DAY2	230	E12	SC	DAY2	experiment_1
230_E2_DAY0	230	E2	SC	DAY0	experiment_1
