Sample	Plate	Well	Experiment	Time	Treatment	Replicate	CellNumID	WellType	TimeTreatment	Unmapped	Uniquely_mapped	Multimapped	Unpaired_total	Mapping_rate	Total_reads	Uniquely_mapped_rate	Assigned	Assigned_rate_total	Assigned_rate_uniqmap	perc_protein_coding	nr_protein_coding	perc_lncRNA	nr_lncRNA	perc_rRNA	nr_rRNA	perc_mitochondrial	nr_mitochondrial	assigned_reads	ngenes	coverage_ngenes_th
C142_A1_Martello_Polo_Day0_H9_E8_1_EMPTY	C142	A1	experiment_2	DAY0	E8	H9	1	EMPTY	Day0_E8	14	11	2	27	48.15	27	40.74	2	7.41	18.18	100	2	0	0	0	0	50	1	2	2	1
C142_A10_Martello_Polo_Day0_H9_E8_10	C142	A10	experiment_2	DAY0	E8	H9	10	SC	Day0_E8	19184	475478	132660	627322	96.94	627322	75.79	271097	43.21	57.02	59.03	160033	1.87	5068	37.16	100741	38.73	104983	271097	8190	1
C142_A11_Martello_Polo_Day0_H9_E8_11	C142	A11	experiment_2	DAY0	E8	H9	11	SC	Day0_E8	212988	432418	155276	800682	73.4	800682	54.01	254558	31.79	58.87	51.47	131021	2.12	5405	43.86	111661	47.7	121413	254558	8240	1
C142_A12_Martello_Polo_Day0_H9_E8_12	C142	A12	experiment_2	DAY0	E8	H9	12	SC	Day0_E8	4	22	10	36	88.89	36	61.11	8	22.22	36.36	25	2	12.5	1	62.5	5	62.5	5	8	4	1
C142_A2_Martello_Polo_Day0_H9_E8_2	C142	A2	experiment_2	DAY0	E8	H9	2	SC	Day0_E8	3997	6712	2912	13621	70.66	13621	49.28	2527	18.55	37.65	70.28	1776	3.13	79	22.95	580	25.92	655	2527	1201	1
C142_A3_Martello_Polo_Day0_H9_E8_3	C142	A3	experiment_2	DAY0	E8	H9	3	SC	Day0_E8	7102	107092	33204	147398	95.18	147398	72.65	60647	41.15	56.63	44.54	27011	1.58	957	52.12	31609	54.07	32794	60647	5026	1
C142_A4_Martello_Polo_Day0_H9_E8_4	C142	A4	experiment_2	DAY0	E8	H9	4	SC	Day0_E8	4	19	6	29	86.21	29	65.52	11	37.93	57.89	54.55	6	0	0	45.45	5	45.45	5	11	7	1
C142_A5_Martello_Polo_Day0_H9_E8_5	C142	A5	experiment_2	DAY0	E8	H9	5	SC	Day0_E8	3784	103237	45192	152213	97.51	152213	67.82	51988	34.15	50.36	67.53	35110	2.6	1354	26.86	13963	28.69	14917	51988	6892	1
C142_A6_Martello_Polo_Day0_H9_E8_6	C142	A6	experiment_2	DAY0	E8	H9	6	SC	Day0_E8	60460	86796	15496	162752	62.85	162752	53.33	14005	8.61	16.14	61.65	8634	4.53	634	12.66	1773	12.93	1811	14005	3241	1
C142_A7_Martello_Polo_Day0_H9_E8_7	C142	A7	experiment_2	DAY0	E8	H9	7	SC	Day0_E8	0	48	20	68	100	68	70.59	31	45.59	64.58	19.35	6	0	0	80.65	25	80.65	25	31	7	1
C142_A8_Martello_Polo_Day0_H9_E8_8	C142	A8	experiment_2	DAY0	E8	H9	8	SC	Day0_E8	16218	657038	229809	903065	98.2	903065	72.76	443504	49.11	67.5	18.33	81286	1.19	5284	79.68	353370	83.35	369655	443504	5701	1
