Sample	Plate	Well	WellType	Time	Experiment	Unmapped	Uniquely_mapped	Multimapped	Unpaired_total	Mapping_rate	Total_reads	Uniquely_mapped_rate	Assigned	Assigned_rate_total	Assigned_rate_uniqmap	perc_protein_coding	nr_protein_coding	perc_lncRNA	nr_lncRNA	perc_rRNA	nr_rRNA	perc_mitochondrial	nr_mitochondrial	assigned_reads	ngenes	coverage_ngenes_th
230_A1_EMPTY_DAY0	230	A1	EMPTY	DAY0	experiment_1	19096	64576	50620	134292	85.78	134292	48.09	74065	55.15	114.69	87.36	64701	1.6	1184	6.95	5151	23.06	17080	74065	6647	1
230_A10_DAY2	230	A10	SC	DAY2	experiment_1	125756	152760	81516	360032	65.07	360032	42.43	135882	37.74	88.95	72.08	97948	0.98	1336	18.7	25412	38.13	51814	135882	3128	1
230_A11_DAY2	230	A11	SC	DAY2	experiment_1	46787	198904	178357	424048	88.97	424048	46.91	256198	60.42	128.8	70.58	180814	0.79	2016	24.05	61620	50.77	130067	256198	4753	1
230_A12_DAY2	230	A12	SC	DAY2	experiment_1	7074	34971	28375	70420	89.95	70420	49.66	39326	55.84	112.45	88.14	34661	1.13	445	5.54	2177	26.12	10273	39326	4724	1
230_A2_EMPTY_DAY0	230	A2	EMPTY	DAY0	experiment_1	31568	159127	119382	310077	89.82	310077	51.32	195517	63.05	122.87	84.63	165463	1.52	2973	10.07	19682	31.42	61424	195517	8318	1
230_A3_DAY0	230	A3	SC	DAY0	experiment_1	16297	211858	145781	373936	95.64	373936	56.66	251434	67.24	118.68	85.32	214518	1.78	4484	9.52	23926	29.59	74404	251434	8317	1
230_A4_DAY0	230	A4	SC	DAY0	experiment_1	4906	65475	45522	115903	95.77	115903	56.49	69959	60.36	106.85	84.88	59383	2.43	1701	9.16	6411	26.39	18464	69959	5371	1
230_A5_DAY0	230	A5	SC	DAY0	experiment_1	30074	366388	89130	485592	93.81	485592	75.45	342932	70.62	93.6	76.2	261305	0.6	2056	16.99	58259	84.9	291161	342932	2390	1
230_A6_DAY0	230	A6	SC	DAY0	experiment_1	25088	226911	182824	434823	94.23	434823	52.18	299022	68.77	131.78	56.63	169345	6.95	20785	32.97	98601	50.69	151575	299022	4455	1
230_A7_DAY2	230	A7	SC	DAY2	experiment_1	108630	213566	67967	390163	72.16	390163	54.74	167524	42.94	78.44	72.96	122219	0.6	1012	16.1	26970	68.82	115294	167524	1592	1
230_A8_DAY2	230	A8	SC	DAY2	experiment_1	17080	217112	178294	412486	95.86	412486	52.63	297310	72.08	136.94	62.93	187092	0.84	2491	32.88	97760	57.1	169770	297310	5519	1
230_A9_DAY2	230	A9	SC	DAY2	experiment_1	20589	143730	106368	270687	92.39	270687	53.1	170971	63.16	118.95	85.04	145395	1.19	2036	9.55	16331	37.55	64193	170971	6160	1
230_B1_DAY0	230	B1	SC	DAY0	experiment_1	38923	148610	136713	324246	88	324246	45.83	190411	58.72	128.13	67.89	129266	1.14	2175	26.48	50413	48.22	91807	190411	4325	1
230_B10_DAY2	230	B10	SC	DAY2	experiment_1	19361	236319	150510	406190	95.23	406190	58.18	280628	69.09	118.75	83.87	235361	1.43	4009	11.78	33067	33.24	93275	280628	6980	1
230_B11_DAY2	230	B11	SC	DAY2	experiment_1	59091	285805	225444	570340	89.64	570340	50.11	343065	60.15	120.03	80.72	276912	2.06	7071	12.48	42813	34.1	116970	343065	4447	1
230_B12_DAY2	230	B12	SC	DAY2	experiment_1	26483	193480	141856	361819	92.68	361819	53.47	232192	64.17	120.01	86.74	201398	1	2332	8.29	19238	32.87	76311	232192	7265	1
230_B2_DAY0	230	B2	SC	DAY0	experiment_1	32218	204602	161205	398025	91.91	398025	51.4	277185	69.64	135.48	59.04	163648	2.38	6602	35.64	98797	63.34	175570	277185	4293	1
230_B3_DAY0	230	B3	SC	DAY0	experiment_1	15748	196673	135839	348260	95.48	348260	56.47	210772	60.52	107.17	77.01	162314	3.12	6569	16.84	35488	25.24	53197	210772	3347	1
230_B4_DAY0	230	B4	SC	DAY0	experiment_1	2831	110717	51641	165189	98.29	165189	67.02	111785	67.67	100.96	85.53	95615	2.35	2632	10.06	11247	22.25	24875	111785	5870	1
230_B5_DAY0	230	B5	SC	DAY0	experiment_1	31775	233479	118040	383294	91.71	383294	60.91	196275	51.21	84.07	69.48	136366	2.35	4604	24.25	47606	39.99	78496	196275	6472	1
230_B6_DAY0	230	B6	SC	DAY0	experiment_1	7662	174958	97921	280541	97.27	280541	62.36	192951	68.78	110.28	87.55	168919	3.21	6197	6.9	13315	14.4	27788	192951	6061	1
230_B7_DAY2	230	B7	SC	DAY2	experiment_1	16482	273829	228728	519039	96.82	519039	52.76	372208	71.71	135.93	61.92	230483	1.18	4406	33.74	125582	58.63	218223	372208	5135	1
230_B8_DAY2	230	B8	SC	DAY2	experiment_1	9181	179369	142996	331546	97.23	331546	54.1	259878	78.38	144.88	61.47	159748	1.03	2670	34.61	89950	58.03	150807	259878	5130	1
230_B9_DAY2	230	B9	SC	DAY2	experiment_1	10804	217075	130933	358812	96.99	358812	60.5	238388	66.44	109.82	85.08	202830	1.25	2990	10.56	25178	23.95	57091	238388	6640	1
230_C1_DAY0	230	C1	SC	DAY0	experiment_1	14690	107709	86414	208813	92.96	208813	51.58	129875	62.2	120.58	87.51	113659	1.77	2293	7.16	9299	25.7	33374	129875	5724	1
230_C10_DAY2	230	C10	SC	DAY2	experiment_1	24039	336633	283120	643792	96.27	643792	52.29	423780	65.83	125.89	62.72	265807	0.62	2637	33.79	143205	62.98	266913	423780	5255	1
230_C11_DAY2	230	C11	SC	DAY2	experiment_1	18290	225353	138045	381688	95.21	381688	59.04	262196	68.69	116.35	87.48	229382	1.34	3518	8.26	21669	26.32	69006	262196	7090	1
