Sample	Plate	Well	Experiment	Time	Treatment	Replicate	CellNumID	WellType	TimeTreatment
C142_A1_Martello_Polo_Day0_H9_E8_1_EMPTY	C142	A1	experiment_2	DAY0	E8	H9	1	EMPTY	Day0_E8
C142_A10_Martello_Polo_Day0_H9_E8_10	C142	A10	experiment_2	DAY0	E8	H9	10	SC	Day0_E8
C142_A11_Martello_Polo_Day0_H9_E8_11	C142	A11	experiment_2	DAY0	E8	H9	11	SC	Day0_E8
C142_A12_Martello_Polo_Day0_H9_E8_12	C142	A12	experiment_2	DAY0	E8	H9	12	SC	Day0_E8
C142_A2_Martello_Polo_Day0_H9_E8_2	C142	A2	experiment_2	DAY0	E8	H9	2	SC	Day0_E8
C142_A3_Martello_Polo_Day0_H9_E8_3	C142	A3	experiment_2	DAY0	E8	H9	3	SC	Day0_E8
C142_A4_Martello_Polo_Day0_H9_E8_4	C142	A4	experiment_2	DAY0	E8	H9	4	SC	Day0_E8
C142_A5_Martello_Polo_Day0_H9_E8_5	C142	A5	experiment_2	DAY0	E8	H9	5	SC	Day0_E8
C142_A6_Martello_Polo_Day0_H9_E8_6	C142	A6	experiment_2	DAY0	E8	H9	6	SC	Day0_E8
C142_A7_Martello_Polo_Day0_H9_E8_7	C142	A7	experiment_2	DAY0	E8	H9	7	SC	Day0_E8
C142_A8_Martello_Polo_Day0_H9_E8_8	C142	A8	experiment_2	DAY0	E8	H9	8	SC	Day0_E8
C142_A9_Martello_Polo_Day0_H9_E8_9	C142	A9	experiment_2	DAY0	E8	H9	9	SC	Day0_E8
C142_B1_Martello_Polo_Day0_H9_E8_13	C142	B1	experiment_2	DAY0	E8	H9	13	SC	Day0_E8
C142_B10_Martello_Polo_Day0_H9_E8_22	C142	B10	experiment_2	DAY0	E8	H9	22	SC	Day0_E8
C142_B11_Martello_Polo_Day0_H9_E8_23	C142	B11	experiment_2	DAY0	E8	H9	23	SC	Day0_E8
C142_B12_Martello_Polo_Day0_H9_E8_24	C142	B12	experiment_2	DAY0	E8	H9	24	SC	Day0_E8
C142_B2_Martello_Polo_Day0_H9_E8_14	C142	B2	experiment_2	DAY0	E8	H9	14	SC	Day0_E8
C142_B3_Martello_Polo_Day0_H9_E8_15	C142	B3	experiment_2	DAY0	E8	H9	15	SC	Day0_E8
C142_B4_Martello_Polo_Day0_H9_E8_16	C142	B4	experiment_2	DAY0	E8	H9	16	SC	Day0_E8
C142_B5_Martello_Polo_Day0_H9_E8_17	C142	B5	experiment_2	DAY0	E8	H9	17	SC	Day0_E8
C142_B6_Martello_Polo_Day0_H9_E8_18	C142	B6	experiment_2	DAY0	E8	H9	18	SC	Day0_E8
C142_B7_Martello_Polo_Day0_H9_E8_19	C142	B7	experiment_2	DAY0	E8	H9	19	SC	Day0_E8
C142_B8_Martello_Polo_Day0_H9_E8_20	C142	B8	experiment_2	DAY0	E8	H9	20	SC	Day0_E8
C142_B9_Martello_Polo_Day0_H9_E8_21	C142	B9	experiment_2	DAY0	E8	H9	21	SC	Day0_E8
C142_C1_Martello_Polo_Day0_H9_E8_25	C142	C1	experiment_2	DAY0	E8	H9	25	SC	Day0_E8
C142_C10_Martello_Polo_Day0_H9_E8_34	C142	C10	experiment_2	DAY0	E8	H9	34	SC	Day0_E8
C142_C11_Martello_Polo_Day0_H9_E8_35	C142	C11	experiment_2	DAY0	E8	H9	35	SC	Day0_E8
C142_C12_Martello_Polo_Day0_H9_E8_36	C142	C12	experiment_2	DAY0	E8	H9	36	SC	Day0_E8
C142_C2_Martello_Polo_Day0_H9_E8_26	C142	C2	experiment_2	DAY0	E8	H9	26	SC	Day0_E8
C142_C3_Martello_Polo_Day0_H9_E8_27	C142	C3	experiment_2	DAY0	E8	H9	27	SC	Day0_E8
C142_C4_Martello_Polo_Day0_H9_E8_28	C142	C4	experiment_2	DAY0	E8	H9	28	SC	Day0_E8
C142_C5_Martello_Polo_Day0_H9_E8_29	C142	C5	experiment_2	DAY0	E8	H9	29	SC	Day0_E8
C142_C6_Martello_Polo_Day0_H9_E8_30	C142	C6	experiment_2	DAY0	E8	H9	30	SC	Day0_E8
C142_C7_Martello_Polo_Day0_H9_E8_31	C142	C7	experiment_2	DAY0	E8	H9	31	SC	Day0_E8
C142_C8_Martello_Polo_Day0_H9_E8_32	C142	C8	experiment_2	DAY0	E8	H9	32	SC	Day0_E8
C142_C9_Martello_Polo_Day0_H9_E8_33	C142	C9	experiment_2	DAY0	E8	H9	33	SC	Day0_E8
C142_D1_Martello_Polo_Day0_H9_E8_37	C142	D1	experiment_2	DAY0	E8	H9	37	SC	Day0_E8
C142_D10_Martello_Polo_Day0_H9_E8_46	C142	D10	experiment_2	DAY0	E8	H9	46	SC	Day0_E8
C142_D11_Martello_Polo_Day0_H9_E8_47	C142	D11	experiment_2	DAY0	E8	H9	47	SC	Day0_E8
C142_D12_Martello_Polo_Day0_H9_E8_48	C142	D12	experiment_2	DAY0	E8	H9	48	SC	Day0_E8
C142_D2_Martello_Polo_Day0_H9_E8_38	C142	D2	experiment_2	DAY0	E8	H9	38	SC	Day0_E8
C142_D3_Martello_Polo_Day0_H9_E8_39	C142	D3	experiment_2	DAY0	E8	H9	39	SC	Day0_E8
C142_D4_Martello_Polo_Day0_H9_E8_40	C142	D4	experiment_2	DAY0	E8	H9	40	SC	Day0_E8
C142_D5_Martello_Polo_Day0_H9_E8_41	C142	D5	experiment_2	DAY0	E8	H9	41	SC	Day0_E8
C142_D6_Martello_Polo_Day0_H9_E8_42	C142	D6	experiment_2	DAY0	E8	H9	42	SC	Day0_E8
C142_D7_Martello_Polo_Day0_H9_E8_43	C142	D7	experiment_2	DAY0	E8	H9	43	SC	Day0_E8
C142_D8_Martello_Polo_Day0_H9_E8_44	C142	D8	experiment_2	DAY0	E8	H9	44	SC	Day0_E8
C142_D9_Martello_Polo_Day0_H9_E8_45	C142	D9	experiment_2	DAY0	E8	H9	45	SC	Day0_E8
C142_E1_Martello_Polo_Day0_H9_E8_49	C142	E1	experiment_2	DAY0	E8	H9	49	SC	Day0_E8
C142_E10_Martello_Polo_Day0_H9_E8_58	C142	E10	experiment_2	DAY0	E8	H9	58	SC	Day0_E8
C142_E11_Martello_Polo_Day0_H9_E8_59	C142	E11	experiment_2	DAY0	E8	H9	59	SC	Day0_E8
C142_E12_Martello_Polo_Day0_H9_E8_60	C142	E12	experiment_2	DAY0	E8	H9	60	SC	Day0_E8
C142_E2_Martello_Polo_Day0_H9_E8_50	C142	E2	experiment_2	DAY0	E8	H9	50	SC	Day0_E8
C142_E3_Martello_Polo_Day0_H9_E8_51	C142	E3	experiment_2	DAY0	E8	H9	51	SC	Day0_E8
C142_E4_Martello_Polo_Day0_H9_E8_52	C142	E4	experiment_2	DAY0	E8	H9	52	SC	Day0_E8
C142_E5_Martello_Polo_Day0_H9_E8_53	C142	E5	experiment_2	DAY0	E8	H9	53	SC	Day0_E8
C142_E6_Martello_Polo_Day0_H9_E8_54	C142	E6	experiment_2	DAY0	E8	H9	54	SC	Day0_E8
C142_E7_Martello_Polo_Day0_H9_E8_55	C142	E7	experiment_2	DAY0	E8	H9	55	SC	Day0_E8
C142_E8_Martello_Polo_Day0_H9_E8_56	C142	E8	experiment_2	DAY0	E8	H9	56	SC	Day0_E8
C142_E9_Martello_Polo_Day0_H9_E8_57	C142	E9	experiment_2	DAY0	E8	H9	57	SC	Day0_E8
C142_F1_Martello_Polo_Day0_H9_E8_61	C142	F1	experiment_2	DAY0	E8	H9	61	SC	Day0_E8
C142_F10_Martello_Polo_Day0_H9_E8_70	C142	F10	experiment_2	DAY0	E8	H9	70	SC	Day0_E8
C142_F11_Martello_Polo_Day0_H9_E8_71	C142	F11	experiment_2	DAY0	E8	H9	71	SC	Day0_E8
C142_F12_Martello_Polo_Day0_H9_E8_72	C142	F12	experiment_2	DAY0	E8	H9	72	SC	Day0_E8
C142_F2_Martello_Polo_Day0_H9_E8_62	C142	F2	experiment_2	DAY0	E8	H9	62	SC	Day0_E8
C142_F3_Martello_Polo_Day0_H9_E8_63	C142	F3	experiment_2	DAY0	E8	H9	63	SC	Day0_E8
C142_F4_Martello_Polo_Day0_H9_E8_64	C142	F4	experiment_2	DAY0	E8	H9	64	SC	Day0_E8
